"word","file_4_count","file_5_count","file_6_count","word_length","total_count","word_ID","predict_word"
"authentic",418,16,68,9,502,1,"character"
"confusing",385,15,103,9,503,2,"sometimes"
"Nashville",194,32,279,9,505,3,"character"
"computers",384,30,96,9,510,4,"character"
"countless",475,14,21,9,510,5,"occasions"
"defensive",282,146,83,9,511,6,"character"
"evolution",444,12,59,9,515,7,"describes"
"resulting",468,30,20,9,518,8,"creations"
"broadcast",362,36,121,9,519,9,"political"
"exploring",446,19,55,9,520,10,"character"
"promoting",389,22,111,9,522,11,"something"
"responses",419,17,87,9,523,12,"regarding"
"spreading",306,21,196,9,523,13,"democracy"
"protected",438,33,54,9,525,14,"agreement"
"struggled",442,66,17,9,525,15,"character"
"contained",481,28,21,9,530,16,"something"
"territory",452,34,44,9,530,17,"character"
"Starbucks",261,7,265,9,533,18,"employees"
"struggles",462,31,42,9,535,19,"including"
"reception",370,22,147,9,539,20,"yesterday"
"exclusive",419,16,108,9,543,21,"interview"
"blessings",381,7,156,9,544,22,"according"
"motivated",415,27,103,9,545,23,"character"
"principle",481,11,54,9,546,24,"including"
"preferred",477,22,51,9,550,25,"something"
"worldwide",429,48,76,9,553,26,"including"
"referring",416,33,105,9,554,27,"naturally"
"Following",375,18,162,9,555,28,"character"
"accepting",435,22,101,9,558,29,"political"
"copyright",476,6,76,9,558,30,"Christian"
"realistic",485,15,61,9,561,31,"character"
"believing",460,12,90,9,562,32,"something"
"occasions",514,21,27,9,562,33,"character"
"guarantee",423,37,107,9,567,34,"financial"
"discovery",486,15,67,9,568,35,"responses"
"submitted",409,38,124,9,571,36,"something"
"conscious",511,6,56,9,573,37,"community"
"memorable",479,27,70,9,576,38,"character"
"vegetable",507,31,38,9,576,39,"providing"
"confusion",492,15,72,9,579,40,"sometimes"
"producing",465,33,82,9,580,41,"something"
"operating",454,97,38,9,589,42,"companies"
"correctly",469,21,103,9,593,43,"sometimes"
"fortunate",493,30,72,9,595,44,"character"
"democracy",538,23,37,9,598,45,"character"
"arguments",508,34,58,9,600,46,"regarding"
"assistant",389,124,87,9,600,47,"professor"
"collected",505,51,44,9,600,48,"different"
"intention",537,23,40,9,600,49,"character"
"designers",503,15,86,9,604,50,"including"
"increases",428,109,69,9,606,51,"listening"
"primarily",541,43,28,9,612,52,"concerned"
"relations",511,42,61,9,614,53,"According"
"musicians",435,49,131,9,615,54,"sometimes"
"magazines",566,11,39,9,616,55,"including"
"satisfied",529,18,69,9,616,56,"employees"
"apologize",414,16,188,9,618,57,"character"
"paintings",533,34,53,9,620,58,"including"
"consumers",465,100,59,9,624,59,"currently"
"creations",595,9,23,9,627,60,"traveling"
"temporary",491,57,82,9,630,61,"structure"
"attempted",528,65,41,9,634,62,"something"
"describes",566,27,41,9,634,63,"something"
"instantly",557,12,72,9,641,64,"recognize"
"sensitive",542,27,72,9,641,65,"documents"
"operation",547,55,40,9,642,66,"including"
"gathering",526,42,75,9,643,67,"knowledge"
"initially",559,60,24,9,643,68,"presented"
"Chocolate",448,7,192,9,647,69,"character"
"criticism",544,52,54,9,650,70,"sometimes"
"involving",529,69,54,9,652,71,"difficult"
"offensive",392,123,141,9,656,72,"according"
"creatures",614,10,36,9,660,73,"according"
"solutions",534,23,104,9,661,74,"available"
"locations",485,47,130,9,662,75,"necessary"
"Committee",482,109,73,9,664,76,"according"
"mountains",587,18,59,9,664,77,"including"
"household",576,39,50,9,665,78,"decisions"
"reporting",442,51,173,9,666,79,"including"
"abandoned",592,30,45,9,667,80,"buildings"
"alongside",601,36,32,9,669,81,"continued"
"elections",508,83,78,9,669,82,"scheduled"
"highlight",539,38,93,9,670,83,"different"
"permanent",548,53,69,9,670,84,"residents"
"Democrats",422,197,56,9,675,85,"sometimes"
"shoulders",584,26,67,9,677,86,"providing"
"encounter",612,23,43,9,678,87,"something"
"overnight",546,49,85,9,680,88,"somewhere"
"publisher",628,16,42,9,686,89,"marketing"
"volunteer",409,77,200,9,686,90,"marketing"
"daughters",548,56,86,9,690,91,"currently"
"exhausted",525,15,154,9,694,92,"character"
"responded",535,82,79,9,696,93,"character"
"breathing",563,31,104,9,698,94,"treatment"
"expressed",617,62,20,9,699,95,"regarding"
"Obviously",580,19,102,9,701,96,"political"
"Institute",530,95,80,9,705,97,"According"
"enjoyable",597,17,94,9,708,98,"sometimes"
"Milwaukee",95,28,586,9,709,99,"Wisconsin"
"Baltimore",152,170,391,9,713,100,"residents"
"introduce",585,22,110,9,717,101,"important"
"professor",507,109,104,9,720,102,"character"
"sacrifice",602,36,82,9,720,103,"according"
"positions",552,75,97,9,724,104,"including"
"Wisconsin",330,56,338,9,724,105,"residents"
"elsewhere",617,52,57,9,726,106,"character"
"supported",566,53,109,9,728,107,"President"
"Education",461,99,169,9,729,108,"Committee"
"Elizabeth",585,46,100,9,731,109,"Elizabeth"
"practical",678,17,36,9,731,110,"knowledge"
"committee",414,203,121,9,738,111,"organized"
"desperate",634,20,89,9,743,112,"political"
"seemingly",706,25,18,9,749,113,"overnight"
"confirmed",560,62,135,9,757,114,"direction"
"destroyed",649,27,82,9,758,115,"buildings"
"lifestyle",670,23,73,9,766,116,"companies"
"technical",626,36,113,9,775,117,"knowledge"
"documents",583,132,61,9,776,118,"including"
"practices",615,73,105,9,793,119,"including"
"narrative",727,24,50,9,801,120,"structure"
"landscape",710,57,42,9,809,121,"beautiful"
"technique",730,30,49,9,809,122,"challenge"
"preparing",632,49,129,9,810,123,"ourselves"
"immediate",682,62,69,9,813,124,"attention"
"exception",713,35,66,9,814,125,"alongside"
"returning",644,64,117,9,825,126,"thousands"
"inspiring",524,16,286,9,826,127,"solutions"
"performed",674,82,85,9,841,128,"alongside"
"discussed",746,36,61,9,843,129,"elsewhere"
"receiving",690,62,91,9,843,130,"financial"
"executive",516,282,47,9,845,131,"committee"
"pregnancy",788,18,39,9,845,132,"Obviously"
